Team,Season_Wins,Season_Losses
Alabama-Birmingham,4,8
Charlotte,3,9
East Carolina,2,10
Florida Atlantic,4,8
Memphis,9,3
Navy,5,6
North Texas,5,7
Rice,6,6
South Florida,6,6
Southern Methodist,10,2
Temple,3,9
Texas-San Antonio,8,4
Tulane,11,1
Tulsa,4,8
Boston College,6,6
Clemson,8,4
Duke,7,5
Florida State,12,1
Georgia Tech,6,6
Louisville,11,2
Miami (FL),7,5
North Carolina,8,4
North Carolina State,9,3
Pittsburgh,3,9
Syracuse,6,6
Virginia,3,9
Virginia Tech,6,6
Wake Forest,4,8
Baylor,3,9
Brigham Young,5,7
Central Florida,6,6
Cincinnati,3,9
Houston,4,8
Iowa State,7,5
Kansas,8,4
Kansas State,8,4
Oklahoma,10,2
Oklahoma State,9,3
Texas,11,1
Texas Christian,5,7
Texas Tech,6,6
West Virginia,8,4
Illinois,5,7
Indiana,3,9
Iowa,10,2
Maryland,7,5
Michigan,12,0
Michigan State,4,8
Minnesota,5,7
Nebraska,5,7
Northwestern,7,5
Ohio State,11,1
Penn State,10,2
Purdue,4,8
Rutgers,6,6
Wisconsin,7,5
Florida International,4,8
Jacksonville State,8,4
Liberty,12,0
Louisiana Tech,3,9
Middle Tennessee State,4,8
New Mexico State,10,3
Sam Houston State,0,0
Texas-El Paso,3,9
Western Kentucky,7,5
Army,5,6
Connecticut,3,9
Massachusetts,3,9
Notre Dame,9,3
Akron,2,10
Ball State,4,8
Bowling Green State,0,0
Buffalo,3,9
Central Michigan,5,7
Eastern Michigan,6,6
Kent State,1,11
Miami (OH),10,2
Northern Illinois,6,6
Ohio,9,3
Toledo,11,1
Western Michigan,4,8
Air Force,8,4
Boise State,7,5
Colorado State,5,7
Fresno State,8,4
Hawaii,5,8
Nevada,2,10
Nevada-Las Vegas,9,3
New Mexico,4,8
San Diego State,4,8
San Jose State,7,5
Utah State,6,6
Wyoming,8,4
Arizona,9,3
Arizona State,3,9
California,6,6
Colorado,4,8
Oregon,11,1
Oregon State,8,4
Southern California,7,5
Stanford,3,9
UCLA,7,5
Utah,8,4
Washington,12,0
Washington State,5,7
Alabama,11,1
Arkansas,4,8
Auburn,6,6
Florida,5,7
Georgia,12,0
Kentucky,7,5
Louisiana State,9,3
Mississippi,10,2
Mississippi State,5,7
Missouri,10,2
South Carolina,5,7
Tennessee,8,4
Texas A&M,7,5
Vanderbilt,2,10
Appalachian State,8,4
Arkansas State,6,6
Coastal Carolina,7,5
Georgia Southern,6,6
Georgia State,6,6
James Madison,11,1
Louisiana,6,6
Louisiana-Monroe,2,10
Marshall,6,6
Old Dominion,6,6
South Alabama,6,6
Southern Mississippi,3,9
Texas State,7,5
Troy,10,2
